,id,executedOn,croppableAreaId,croppableAreaName,IsSoilmoi4,PlantHeig3,WaterHeig0,FieldPhot1hldr,FieldPhot2hldr,Soilmoist5hldr,Date,executedOn_time,Photo1_link,Photo2_link
19,46751,2023-08-07T04:08:00.333Z,19151,Field 80,Yes,31.0,11.0,compress1691381294427.jpg,compress1691381308566.jpg,"[{'size': 2760038, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '487f0bd0-34d8-11ee-8bc8-5d140a666f51', 'originalFileName': 'compress1691381394494.jpg'}, {'size': 3152704, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '487f32e0-34d8-11ee-8806-0de15191c057', 'originalFileName': 'compress1691381400950.jpg'}]",2023-08-07,04:08:00.333000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691381294427.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691381308566.jpg
20,46851,2023-08-07T04:12:44.168Z,19165,Field 94,Yes,29.0,15.0,compress1691381577758.jpg,compress1691381597340.jpg,"[{'size': 3547495, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'cf2039c0-34d8-11ee-af9e-4d2761ff7b48', 'originalFileName': 'compress1691381618026.jpg'}, {'size': 3764963, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'cf20fd10-34d8-11ee-9354-7d99ec193f7c', 'originalFileName': 'compress1691381626825.jpg'}]",2023-08-07,04:12:44.168000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691381577758.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691381597340.jpg
21,46852,2023-08-07T04:53:37.26Z,19155,Field 84,Yes,18.0,11.0,compress1691384029110.jpg,compress1691384041523.jpg,"[{'size': 4381318, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '7d347d00-34de-11ee-916c-c5156cf4bcae', 'originalFileName': 'compress1691384058851.jpg'}, {'size': 2867876, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '7d362ab0-34de-11ee-8561-b13d833b9457', 'originalFileName': 'compress1691384066748.jpg'}]",2023-08-07,04:53:37.260000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691384029110.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691384041523.jpg
22,47251,2023-08-07T04:47:44.956Z,19158,Field 87,Yes,18.0,,compress1691383709405.jpg,compress1691383686040.jpg,"[{'size': 5378249, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'b559c4c0-34dd-11ee-af8d-d5b0e7b3f433', 'originalFileName': '1691383729864.jpg'}, {'size': 5391451, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'b55a12e0-34dd-11ee-869b-176eece23a5e', 'originalFileName': '1691383729910.jpg'}]",2023-08-07,04:47:44.956000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691383709405.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691383686040.jpg
23,47454,2023-08-07T05:42:13.993Z,19156,Field 85,Yes,16.0,11.0,compress1691386972875.jpg,compress1691386987371.jpg,"[{'size': 3434794, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '61702a40-34e5-11ee-bdda-8fc1f7109124', 'originalFileName': 'compress1691387026200.jpg'}]",2023-08-07,05:42:13.993000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691386972875.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691386987371.jpg
24,47652,2023-08-07T05:50:59.781Z,19163,Field 92,Yes,28.0,5.0,compress1691387471740.jpg,compress1691387480611.jpg,"[{'size': 5149214, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '98fcc990-34e6-11ee-bc51-6ddbfec465ea', 'originalFileName': '1691387548326.jpg'}, {'size': 5060644, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '99013660-34e6-11ee-9f62-83a4364790b9', 'originalFileName': '1691387548389.jpg'}]",2023-08-07,05:50:59.781000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691387471740.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691387480611.jpg
31,54064,2023-08-09T05:05:26.489Z,19170,Field 99,Yes,34.0,10.0,1691557549481.jpg,1691557557732.jpg,"[{'size': 2528609, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '8c9e99c0-3672-11ee-a429-a188f5e0c824', 'originalFileName': '1691557608481.jpg'}]",2023-08-09,05:05:26.489000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1691557549481.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1691557557732.jpg
32,54251,2023-08-09T04:35:26.389Z,19160,Field 89,,28.0,11.0,compress1691555745533.jpg,compress1691555763593.jpg,,2023-08-09,04:35:26.389000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691555745533.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691555763593.jpg
30,53906,2023-08-09T05:50:27.662Z,19163,Field 92,,31.0,3.0,compress1691560281995.jpg,compress1691560293180.jpg,,2023-08-09,05:50:27.662000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691560281995.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691560293180.jpg
33,55701,2023-08-09T06:07:02.941Z,19173,Field 102,Yes,42.0,12.0,1691561239288.jpg,1691561250303.jpg,"[{'size': 4966442, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '0f53c6d0-367b-11ee-9849-0b74ad500dcc', 'originalFileName': '1691561264464.jpg'}]",2023-08-09,06:07:02.941000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1691561239288.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1691561250303.jpg
28,53902,2023-08-09T04:24:46.1Z,19179,Field 108,Yes,45.0,10.0,compress1691555183562.jpg,compress1691555195779.jpg,"[{'size': 2935854, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '9d19a4b0-366e-11ee-8843-5d7dc22cde4a', 'originalFileName': '1691555917961.jpg'}]",2023-08-09,04:24:46.100000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691555183562.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691555195779.jpg
27,53602,2023-08-09T04:49:38.257Z,19153,Field 82,,32.0,11.0,compress1691556591483.jpg,compress1691556603693.jpg,,2023-08-09,04:49:38.257000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691556591483.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691556603693.jpg
